Tornado ID,Date/Time,Latitude,Longitude,Nearest town,State,Comments,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
55,21/02/1900 14:00,-30.8167,152.5167,BELLBROOK,NSW," TORNADO, UNROOFS SEVERAL BLDNGS, DAMAGES TELEGRAPH LINES",,,,,,,,,,,
56,3/12/1900 8:30,-29.8,149.7833,KILGOWLA AND NARRABRI,NSW," HOUSES UNROOFED, TREES UPROOTED, STORM PATH 200 YDS WIDE",,,,,,,,,,,
57,4/12/1900 4:10,-35,148.1167,WOODBURN(3)/COOTAMUNDRA,NSW," HOUSES UNROOFED, LARGE TREES SNAPPED OFF, DAMAGE 3/4 MILE WIDE, HAIL DESTROYS CROPS",,,,,,,,,,,
58,1/01/1901 7:00,-29.8667,150.5667,BINGARA,NSW," UNROOFED HOUSES, UPROOTED TREES",,,,,,,,,,,
59,20/11/1901 7:00,-33.8667,144.8834,THE CUBAS (W OF BOOLIGAL),NSW," TORNADO, CONSIDERABLE DAMAGE TO ROOFS, CARRIED AWAY IRON AND TIMBER BODILY",,,,,,,,,,,
60,31/12/1901 14:00,-30.4,145.5,GUNDABOOKA,NSW," TORNADO, DAY NOT RIGHT OCCURRED BETWEEN THE 1ST AND 8TH, UNROOFED HALF OF BARN, ROTATION IN CLOUD",,,,,,,,,,,
61,14/01/1902 14:00,-30.3333,149.7833,NARRABRI,NSW," TORNADO, DAY WAS NOT SPECIFIED",,,,,,,,,,,
62,14/09/1902 14:00,-33.6,148.4,GOOLAGONG,NSW," TORNADO, DAY NOT GIVEN",,,,,,,,,,,
63,26/09/1902 14:00,-35,146.1,BROWLEY/WOODLAND PARK,NSW," UPROOTED TREES, TORE UP GROUND/FENCES, LASTED A FEW MINUTES",,,,,,,,,,,
64,14/10/1902 14:00,-33.6,148.4,GOOLAGONG,NSW," TORNADO, DAY NOT GIVEN",,,,,,,,,,,
65,8/11/1902 4:00,-33.5,148.5,GOOLAGONG/CANOWINDRA,NSW," TORNADO, CONSIDERABLE DAMAGE TO STANDING TIMBER FENCES SHEDS ETC",,,,,,,,,,,
66,22/11/1902 14:00,-32.85,145.8834,MOUNT HOPE,NSW," TORNADO, UNROOFED SEVERAL VERANDAHS",,,,,,,,,,,
67,14/12/1902 14:00,-33.6,148.4,GOOLAGONG,NSW," TORNADO, DAY UNCERTAIN",,,,,,,,,,,
68,14/01/1903 5:00,-34.0167,150.6833,COBBITTY,NSW," TORNADO, HOUSES AND FARM BUILDINGS BLOWN DOWN",,,,,,,,,,,
69,22/01/1903 9:00,-29.5833,152.7333,RAMORNIE,NSW," LASTED 5 MINS, UNROOFED HOUSE, BROKE 100'S TREES, NARROW DAMAGE PATH, ROARING NOISE ABT 10 MILES SW",,,,,,,,,,,
70,14/04/1903 14:00,-34.6333,148.0333,COOTAMUNDRA,NSW, TORNADO,,,,,,,,,,,
71,11/10/1903 6:00,-33.1333,148.1833,PARKES,NSW," MANY BUILDINGS DAMAGED, TREES BROKEN, IRON BLOWN ABOUT",,,,,,,,,,,
72,20/12/1903 14:00,-31.3667,150.15,COOLANBILLA (COOLUMBILLA ?),NSW, WAGONS SHIFTED 8-10 FEET,,,,,,,,,,,
73,19/10/1904 5:00,-30.3167,145.5,CLOVER CREEK,NSW," UNROOFED HOUSES, UPROOTS TREES, HAIL NO SIZE GIVEN",,,,,,,,,,,
74,18/12/1904 14:00,-28.3167,153.4333,CONDONG,NSW," BUILDINGS UNROOFED, CARRIED IRON 150 METRES, TERRIFIC FALLS",,,,,,,,,,,
75,23/12/1904 14:00,-29.8667,152.45,DALMORTON,NSW," DAMAGE PATH 60 MILES LONG- 1 MILE WIDE, BLDNGS UNROOFED, LARGE TREES DOWN, LARGE HAIL NO SIZE GIVEN",,,,,,,,,,,
76,20/01/1905 14:00,-29.8667,150.5667,BINGARA,NSW," TREES UPROOTED, TIMBER STREWN ON ROADS",,,,,,,,,,,
77,5/01/1906 14:00,-30.3167,151.5333,BOOROLONG,NSW," DAMAGE PATH MILES LONG - ONLY 10 YARDS WIDE IN SOME PLACES,   LIFTED OFF GROUND SEVERAL TIMES",,,,,,,,,,,
78,24/01/1906 14:00,-29.2333,146.9167,WEILMORINGLE,NSW," STORE BLOWN DOWN, DAMAGE TO BUILDINGS",,,,,,,,,,,
79,27/03/1906 1:50,-33.8834,151.2167,NORTH SYDNEY,NSW, TORNADO,,,,,,,,,,,
80,10/09/1906 14:00,-30.0833,145.9334,BOURKE,NSW," BLOW DOWN PART OF HOTEL, DAMAGE HOUSES",,,,,,,,,,,
81,27/11/1906 14:00,-31.1667,146.1333,KERGUNYAH,NSW," DAMAGE PATH 0.5 MILE WIDE, 11 BLDGS UNROOFED, LARGE GUMS UPROOTED,A WOOLSHED WRECKED,ROOF IRON 1 MIL",,,,,,,,,,,
82,15/12/1907 3:45,-32.9334,151.7667,MAYFIELD,NSW," HOUSES UNROOFED, TREES DOWN",,,,,,,,,,,
83,15/01/1908 14:00,-33.8167,149.6,MOUNT DAVID,NSW, TORNADO,,,,,,,,,,,
84,29/02/1908 14:00,-33.6,150.75,RICHMOND,NSW," POSSIBLE TORNADO, 2.5 CM HAIL LASTED 9 MIN - 13MM, CROPS AND TREES  DAMAGED",,,,,,,,,,,
85,19/09/1908 9:15,-36.0833,146.9334,ALBURY,NSW," LASTED FEW MINUTES, WRECKED GRANDSTAND",,,,,,,,,,,
86,2/01/1909 14:00,-33.1,146.65,BROTHERONY STN (CONDOBOLIN),NSW," ON BORDER WITH RIVERINA, UNROOFED BUILDINGS UPROOTED TREES, CIRCULAR WILLY WILLIES",,,,,,,,,,,
